graph,model,all_wrong_sure,all_correct_sure,mean_conf,frac_wrong
ring,baseline,0.0,0.0,0.9919611881005658,0.4
ring,PBRC (social-only fallback),0.0,0.0,0.5338399177557476,0.55
ring,baseline,0.0,0.0,0.9950787014187122,0.2
ring,PBRC (social-only fallback),0.0,0.0,0.5327373401971969,0.45
ring,baseline,0.0,0.0,0.9711138099664035,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.5333247427014994,0.5
ring,baseline,0.0,0.0,0.9891021674852547,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.5486801226371644,0.6
ring,baseline,0.0,0.0,0.9996680515797134,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5527038363896344,0.6
ring,baseline,0.0,0.0,0.9681050156057653,0.15
ring,PBRC (social-only fallback),0.0,0.0,0.543785954453573,0.35
ring,baseline,0.0,0.0,0.9811215780646341,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.5399912706245726,0.25
ring,baseline,0.0,0.0,0.9950136845156857,0.7
ring,PBRC (social-only fallback),0.0,0.0,0.5377581630065055,0.7
ring,baseline,0.0,0.0,0.9886064445187921,0.65
ring,PBRC (social-only fallback),0.0,0.0,0.5358753380652995,0.6
ring,baseline,0.0,0.0,0.9998902507024274,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.550003942542072,0.55
ring,baseline,0.0,1.0,0.9999820350610428,0.0
ring,PBRC (social-only fallback),0.0,0.0,0.5390699960124349,0.4
ring,baseline,0.0,0.0,0.9878177543997462,0.1
ring,PBRC (social-only fallback),0.0,0.0,0.5317644699675159,0.35
ring,baseline,0.0,0.0,0.996473963155284,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5535173352442009,0.5
ring,baseline,0.0,0.0,0.9999426318636804,0.65
ring,PBRC (social-only fallback),0.0,0.0,0.5492303572119461,0.4
ring,baseline,0.0,0.0,0.9633932159307974,0.65
ring,PBRC (social-only fallback),0.0,0.0,0.5433703081967293,0.5
ring,baseline,0.0,0.0,0.9963741319402823,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5368188884198372,0.5
ring,baseline,0.0,0.0,0.9996131020440517,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.5486272194947573,0.55
ring,baseline,0.0,0.0,0.9875677753355859,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.5341688283001399,0.5
ring,baseline,0.0,0.0,0.9994520109094573,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.550740619761147,0.5
ring,baseline,0.0,0.0,0.9820384746437307,0.2
ring,PBRC (social-only fallback),0.0,0.0,0.537736281530256,0.4
ring,baseline,0.0,0.0,0.9629294682715935,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.5471373514704523,0.55
ring,baseline,0.0,0.0,0.9967124145314642,0.65
ring,PBRC (social-only fallback),0.0,0.0,0.534559107513356,0.55
ring,baseline,0.0,0.0,0.9976209458227754,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.542082355083303,0.4
ring,baseline,0.0,0.0,0.9631748183867505,0.8
